brand,freezer_capacity,number_of_reviews,price,product_description,ratings,total_capacity
Whirlpool,,1,"$1,549.99 ",Whirlpool - 25.2 Cu. Ft. French Door Refrigerator - Black,4,
GE,,2,"$2,829.99 ",GE - Profile Series 27.8 Cu. Ft. French Door in Door Refrigerator - Black stainless steel,5,
GE,,NA,$755.99 ,GE - 16.6 Cu. Ft. Top-Freezer Refrigerator - Stainless steel,,
Whirlpool,,1,"$1,549.99 ",Whirlpool - 25.2 Cu. Ft. French Door Refrigerator - White,4,
GE,,55,"$2,634.99 ",GE - Profile Series 23.1 Cu. Ft. French Door Counter-Depth Refrigerator - Black Slate,4.4,
Frigidaire,,1,"$1,844.10 ",Frigidaire - 27.6 Cu. Ft. French Door Refrigerator - Stainless steel,5,
Café,,14,"$2,994.99 ",Café - 23.1 Cu. Ft. French Door Counter-Depth Refrigerator - Matte Black,3.8,
Amana,,59,$549.99 ,Amana - 18.2 Cu. Ft. Top-Freezer Refrigerator - White,4.5,
Amana,,59,$549.99 ,Amana - 18.2 Cu. Ft. Top-Freezer Refrigerator - Black,4.5,
LG,,NA,$629.99 ,LG - 11.1 Cu. Ft. Top-Freezer Counter-Depth Refrigerator - Platinum Silver,,
GE,,15,"$1,439.99 ",GE - 23.2 Cu. Ft. Side-by-Side Refrigerator - Black,4.5,
GE,,15,"$1,439.99 ",GE - 23.2 Cu. Ft. Side-by-Side Refrigerator - Bisque,4.5,
GE,,15,"$1,439.99 ",GE - 23.2 Cu. Ft. Side-by-Side Refrigerator - White,4.5,
Maytag,,12,"$2,199.99 ",Maytag - 20 Cu. Ft. French Door Counter-Depth Refrigerator - Stainless steel,4.8,
Amana,,10,"$1,259.99 ",Amana - 22.1 Cu. Ft. Bottom-Freezer Refrigerator - Black,4.6,
Amana,,10,"$1,259.99 ",Amana - 22.1 Cu. Ft. Bottom-Freezer Refrigerator - White,4.6,
Maytag,,8,"$1,799.99 ",Maytag - 25.2 Cu. Ft. French Door Refrigerator - Stainless steel,4.8,
GE,,136,"$2,629.99 ",GE - Profile Series 22.2 Cu. Ft. French Door Counter-Depth Refrigerator with Hands-Free AutoFill - Black stainless steel,4.2,
Maytag,,5,"$1,079.99 ",Maytag - 21.2 Cu. Ft. Top-Freezer Refrigerator - Silver,4.4,
Amana,,40,$989.99 ,Amana - 18.7 Cu. Ft. Bottom-Freezer Refrigerator - White,4.4,
Amana,,40,$989.99 ,Amana - 18.7 Cu. Ft. Bottom-Freezer Refrigerator - Black,4.4,
LG,,2,"$2,699.99 ",LG - Kimchi and Specialty Food 14.3 Cu. Ft. 4-Door French Door Refrigerator - Platinum Silver,5,
KitchenAid,,60,"$1,979.99 ",KitchenAid - 20 Cu. Ft. French Door Refrigerator - Black stainless steel,4.3,
GE,,136,"$2,529.99 ",GE - Profile Series 22.2 Cu. Ft. French Door Counter-Depth Refrigerator - Slate,4.2,
GE,,135,"$1,349.99 ",GE - 23.2 Cu. Ft. Side-by-Side Refrigerator - White,4.4,
GE,,135,"$1,349.99 ",GE - 23.2 Cu. Ft. Side-by-Side Refrigerator - Black,4.4,
Maytag,,16,"$1,599.99 ",Maytag - 18.6 Cu. Ft. Bottom-Freezer Refrigerator - Stainless steel,4.8,
GE,,19,"$1,529.99 ",GE - 20.8 Cu. Ft. French Door Refrigerator - Slate,4.7,
GE,,28,"$3,264.99 ",GE - Profile Series 27.8 Cu. Ft. French Door Refrigerator with Keurig Brewing System - Black Slate,4.3,
Whirlpool,,10,"$1,259.99 ",Whirlpool - 21.4 Cu. Ft. Side-by-Side Refrigerator - Monochromatic Stainless Steel,4.3,
Viking,,1,"$8,409.00 ",Viking - Professional 5 Series Quiet Cool 22.8 Cu. Ft. Refrigerator - Graphite gray,5,
Maytag,,15,$989.99 ,Maytag - 20.5 Cu. Ft. Top-Freezer Refrigerator - Stainless steel,4,
Maytag,,9,"$1,999.99 ",Maytag - 22.1 Cu. Ft. French Door Refrigerator - Fingerprint Resistant Stainless Steel,5,
GE,,71,"$3,264.99 ",GE - Profile Series 22.2 Cu. Ft. French Door Counter-Depth Refrigerator with Keurig Brewing System - Black stainless steel,4.2,
KitchenAid,,67,"$3,199.99 ",KitchenAid - 21.9 Cu. Ft. Counter-Depth French Door Refrigerator - Custom Panel Ready,4.3,
GE,,650,"$1,619.99 ",GE - 25.4 Cu. Ft. Frost-Free Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Slate,4.5,
Amana,,4,"$1,259.99 ",Amana - 18.6 Cu. Ft. Bottom-Freezer Refrigerator - White,3.8,
GE,,NA,$549.99 ,GE - 16.6 Cu. Ft. Top-Freezer Refrigerator - Black,,
GE,,NA,$549.99 ,GE - 16.6 Cu. Ft. Top-Freezer Refrigerator - White,,
GE,,242,"$2,634.99 ",GE - 27.8 Cu. Ft. French Door Refrigerator - High gloss white,4.4,
GE,,242,"$2,634.99 ",GE - 27.8 Cu. Ft. French Door Refrigerator - High gloss black,4.4,
GE,,8,$879.99 ,GE - 11.6 Cu. Ft. Top-Freezer Refrigerator - White,4.3,
GE,,8,$879.99 ,GE - 11.6 Cu. Ft. Top-Freezer Refrigerator - Black,4.3,
GE,,30,"$1,439.99 ",GE - 22.5 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Black,4.4,
Haier,,NA,"$1,499.99 ",Haier - 27 Cu. Ft. French Door Refrigerator - Black stainless steel,,
KitchenAid,,307,"$2,499.99 ",KitchenAid - 22.6 Cu. Ft. Side-by-Side Counter-Depth Refrigerator - Black stainless steel,4.4,
